id,exchange_id,company_name,,id,company_id,date,open,high,low,close,volume
cc1a0514-1578-439c-a4ee-6caf92480e1c,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd27,New African Properties,,3de170a5-c2e0-4783-9264-c2253a82faa7,cc1a0514-1578-439c-a4ee-6caf92480e1c,2018-03-16,3.18,0,0,3.18,0
7bb2e3e3-fc2d-4ebe-9c8d-40ae39f4f7f7,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd28,Lucara Diamond Corp,,e160d88f-62e1-4c1b-b50e-b9022d13cc7e,7bb2e3e3-fc2d-4ebe-9c8d-40ae39f4f7f7,2018-03-16,18.37,0,0,18.37,0
fe30316e-bce7-4ca4-8147-bcc957c04d9d,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd29,Botswana Telecommunications Corp,,16c0b0b8-15aa-402f-ade9-bd70a06a50c7,fe30316e-bce7-4ca4-8147-bcc957c04d9d,2018-03-16,1.57,1.57,1.57,1.57,1396
d61508dd-b3a7-4a0e-8467-6d7be1a28196,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd30,A Cap Resources,,ffe2c77f-3884-4197-a16e-cfb898546472,d61508dd-b3a7-4a0e-8467-6d7be1a28196,2018-03-16,0.35,0,0,0.35,0
f7ded1e6-fafb-4c47-bbe7-2a456aba8a3e,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd31,Standard Chartered Botswana,,f2e6cb91-da0d-4494-98a9-8235956158f6,f7ded1e6-fafb-4c47-bbe7-2a456aba8a3e,2018-03-16,4.99,0,0,4.99,0
86d1ab9e-2c0e-4bad-9327-bf3347dcc7a1,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd32,Turnstar Holdings,,2878ea83-921a-4d43-82d1-3e9b3b0d7df5,86d1ab9e-2c0e-4bad-9327-bf3347dcc7a1,2018-03-16,3.3,3.3,3.29,3.29,291
19ef9da7-9f57-4b38-bc85-8df0fd75abc5,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd33,Wilderness Holdings (Botswana),,f2fdb400-73be-4e97-a849-3a8d9b60b92a,19ef9da7-9f57-4b38-bc85-8df0fd75abc5,2018-03-16,5.75,0,0,5.75,0
ba38672c-4410-439d-ac2b-b7aec7d18f84,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd34,Raven Energy,,0f19f24a-71b4-44b7-b7d1-559dbf71b2e1,ba38672c-4410-439d-ac2b-b7aec7d18f84,2018-03-16,0.05,0,0,0.05,0
2d237dcc-e85f-41b3-a7f4-50e0591b947b,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd35,Afinitas,,6d3d5e67-c9fc-4560-9b76-c7ab6410428e,2d237dcc-e85f-41b3-a7f4-50e0591b947b,2018-03-16,1.05,0,0,1.05,0
8df7f532-c75b-4647-88af-d0d70ec514ee,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd36,Botswana Domestic Companies Index,,0fbd448b-2bf7-47e0-9989-c82fc7830e47,8df7f532-c75b-4647-88af-d0d70ec514ee,2018-03-16,0,0,0,8680.01,5432
9d749023-faa2-4b2a-812c-33d19ccd81b1,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd37,Far Property Company,,a2780331-a6ec-47ee-a1ca-637fa5c48e10,9d749023-faa2-4b2a-812c-33d19ccd81b1,2018-03-16,2.5,0,0,2.5,0
47ada9af-78a3-42e3-bf2e-699fcb10150c,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd38,Minergy,,ec682c51-f6e1-41cb-9eba-8935ca62c9c9,47ada9af-78a3-42e3-bf2e-699fcb10150c,2018-03-16,0.9,0,0,0.9,0
ca789312-dccb-4760-acfe-7efa5d4bce30,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd39,Ca Sales Holdings,,8d7ba1ae-035d-4e12-a095-57bca461ebcc,ca789312-dccb-4760-acfe-7efa5d4bce30,2018-03-16,3.6,0,0,3.6,0
ecda6d79-7415-4ba1-8e04-8cc9224d54dd,5d9d3b11-d9e9-4d8d-a98c-5bf90d059dd40,Tlou Energy,,d9108871-2099-43f1-9ecf-76702e047088,ecda6d79-7415-4ba1-8e04-8cc9224d54dd,2018-03-16,1.56,0,0,1.56,0
